Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
[LCIG]+,C G I L [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --L--> S2 | S2 --C--> S3 | S3 --I--> S4 | S4 --G--> S5 | S5 --]--> S6 | S6 --]--> S6,
[GDIK]*,D G I K [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --G--> S2 | S2 --D--> S3 | S3 --I--> S4 | S4 --K--> S6 | S6 --]--> S5 | S5 --]--> S5,
[JCDLB]*,B C D J L [ ],S7 S6,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --J--> S2 | S2 --C--> S3 | S3 --D--> S4 | S4 --L--> S5 | S5 --B--> S7 | S7 --]--> S6 | S6 --]--> S6,
H+C*J+BF|DL*,B C D F H J L,S1 S6 S4,S0 S1 S2 S3 S4 S5 S6 S7,S7 --C--> S3 | S7 --H--> S7 | S7 --J--> S5 | S2 --D--> S6 | S2 --H--> S7 | S3 --C--> S3 | S3 --J--> S5 | S5 --B--> S0 | S5 --J--> S5 | S0 --F--> S1 | S6 --L--> S4 | S4 --L--> S4,
I+B*|AA*,A B I,S4 S1 S3 S2,S0 S1 S2 S3 S4,S4 --B--> S1 | S4 --I--> S4 | S0 --A--> S3 | S0 --I--> S4 | S1 --B--> S1 | S3 --A--> S2 | S2 --A--> S2,
B*|K+JC+K+,B C J K,S1 S5 S4,S0 S1 S2 S3 S4 S5,S1 --B--> S1 | S5 --B--> S1 | S5 --K--> S2 | S2 --J--> S0 | S2 --K--> S2 | S0 --C--> S3 | S3 --C--> S3 | S3 --K--> S4 | S4 --K--> S4,
[CAFBD],A B C D F [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --C--> S3 | S3 --A--> S4 | S4 --F--> S5 | S5 --B--> S6 | S6 --D--> S7 | S7 --]--> S1,
[FDJ]+,D F J [ ],S5,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --F--> S2 | S2 --D--> S3 | S3 --J--> S4 | S4 --]--> S5 | S5 --]--> S5,
D*ED+G+C+A+|I+L*L*|I+,A C D E G I L,S5 S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S1 --D--> S1 | S1 --E--> S0 | S6 --D--> S1 | S6 --E--> S0 | S6 --I--> S8 | S0 --D--> S2 | S2 --D--> S2 | S2 --G--> S3 | S3 --C--> S4 | S3 --G--> S3 | S4 --A--> S5 | S4 --C--> S4 | S5 --A--> S5 | S8 --I--> S8 | S8 --L--> S7 | S7 --L--> S7,
K*H+F*H+I+K+F|C,C F H I K,S0 S1,S0 S1 S2 S3 S4 S5 S6 S7 S8 S9,S2 --H--> S8 | S2 --K--> S2 | S7 --C--> S1 | S7 --H--> S8 | S7 --K--> S2 | S8 --F--> S3 | S8 --H--> S9 | S9 --F--> S3 | S9 --H--> S9 | S9 --I--> S5 | S3 --F--> S3 | S3 --H--> S4 | S4 --H--> S4 | S4 --I--> S5 | S5 --I--> S5 | S5 --K--> S6 | S6 --F--> S0 | S6 --K--> S6,
[AHDI]*,A D H I [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --A--> S2 | S2 --H--> S3 | S3 --D--> S4 | S4 --I--> S6 | S6 --]--> S5 | S5 --]--> S5,
[BJL]*,B J L [ ],S5 S4,S0 S1 S2 S3 S4 S5,S0 --[--> S1 | S1 --B--> S2 | S2 --J--> S3 | S3 --L--> S5 | S5 --]--> S4 | S4 --]--> S4,
B+J+J,B J,S3,S0 S1 S2 S3,S0 --B--> S1 | S1 --B--> S1 | S1 --J--> S2 | S2 --J--> S3 | S3 --J--> S3,
[LEHBA]+,A B E H L [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --L--> S2 | S2 --E--> S3 | S3 --H--> S4 | S4 --B--> S5 | S5 --A--> S6 | S6 --]--> S7 | S7 --]--> S7,
[JFHEC],C E F H J [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --J--> S3 | S3 --F--> S4 | S4 --H--> S5 | S5 --E--> S6 | S6 --C--> S7 | S7 --]--> S1,
J+AI+D+|C*E|G*A+,A C D E G I J,S7 S1 S6,S0 S1 S2 S3 S4 S5 S6 S7 S8,S4 --A--> S0 | S4 --J--> S4 | S8 --A--> S6 | S8 --C--> S2 | S8 --E--> S1 | S8 --G--> S3 | S8 --J--> S4 | S0 --I--> S5 | S5 --D--> S7 | S5 --I--> S5 | S7 --D--> S7 | S2 --C--> S2 | S2 --E--> S1 | S3 --A--> S6 | S3 --G--> S3 | S6 --A--> S6,
[HICBL],B C H I L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --H--> S3 | S3 --I--> S4 | S4 --C--> S5 | S5 --B--> S6 | S6 --L--> S7 | S7 --]--> S1,
[LCKH]+,C H K L [ ],S6,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --L--> S2 | S2 --C--> S3 | S3 --K--> S4 | S4 --H--> S5 | S5 --]--> S6 | S6 --]--> S6,
[GLICJ],C G I J L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --G--> S3 | S3 --L--> S4 | S4 --I--> S5 | S5 --C--> S6 | S6 --J--> S7 | S7 --]--> S1,
[GBAJF]+,A B F G J [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --G--> S2 | S2 --B--> S3 | S3 --A--> S4 | S4 --J--> S5 | S5 --F--> S6 | S6 --]--> S7 | S7 --]--> S7,
H+|A*C|L+F*,A C F H L,S3 S0 S5 S2,S0 S1 S2 S3 S4 S5,S3 --H--> S3 | S4 --A--> S1 | S4 --C--> S0 | S4 --H--> S3 | S4 --L--> S5 | S1 --A--> S1 | S1 --C--> S0 | S5 --F--> S2 | S5 --L--> S5 | S2 --F--> S2,
[KDHAGL],A D G H K L [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S2 | S2 --K--> S3 | S3 --D--> S4 | S4 --H--> S5 | S5 --A--> S6 | S6 --G--> S7 | S7 --L--> S8 | S8 --]--> S1,
D+B+G+L+,B D G L,S1,S0 S1 S2 S3 S4,S0 --D--> S2 | S2 --B--> S3 | S2 --D--> S2 | S3 --B--> S3 | S3 --G--> S4 | S4 --G--> S4 | S4 --L--> S1 | S1 --L--> S1,
[FGJL],F G J L [ ],S1,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S2 | S2 --F--> S3 | S3 --G--> S4 | S4 --J--> S5 | S5 --L--> S6 | S6 --]--> S1,
[EBDGC]+,B C D E G [ ],S7,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S1 | S1 --E--> S2 | S2 --B--> S3 | S3 --D--> S4 | S4 --G--> S5 | S5 --C--> S6 | S6 --]--> S7 | S7 --]--> S7,
[FEACB],A B C E F [ ],S1,S0 S1 S2 S3 S4 S5 S6 S7,S0 --[--> S2 | S2 --F--> S3 | S3 --E--> S4 | S4 --A--> S5 | S5 --C--> S6 | S6 --B--> S7 | S7 --]--> S1,
[BDFA]*,A B D F [ ],S6 S5,S0 S1 S2 S3 S4 S5 S6,S0 --[--> S1 | S1 --B--> S2 | S2 --D--> S3 | S3 --F--> S4 | S4 --A--> S6 | S6 --]--> S5 | S5 --]--> S5,
[DHBKFC]*,B C D F H K [ ],S8 S7,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --D--> S2 | S2 --H--> S3 | S3 --B--> S4 | S4 --K--> S5 | S5 --F--> S6 | S6 --C--> S8 | S8 --]--> S7 | S7 --]--> S7,
[EBLCGA]+,A B C E G L [ ],S8,S0 S1 S2 S3 S4 S5 S6 S7 S8,S0 --[--> S1 | S1 --E--> S2 | S2 --B--> S3 | S3 --L--> S4 | S4 --C--> S5 | S5 --G--> S6 | S6 --A--> S7 | S7 --]--> S8 | S8 --]--> S8,
