Regex,Alfabeto,Estados de aceptación,Estados,Transiciones,Error
D+,D,S1,S0 S1,S0 --D--> S1 | S1 --D--> S1,
D,D,S1,S0 S1,S0 --D--> S1,
EC,C E,S1,S0 S1 S2,S0 --E--> S2 | S2 --C--> S1,
L|F,F L,S0 S1,S0 S1 S2,S2 --F--> S1 | S2 --L--> S0,
E,E,S1,S0 S1,S0 --E--> S1,
IDF,D F I,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --D--> S3 | S3 --F--> S1,
G,G,S1,S0 S1,S0 --G--> S1,
J*,J,S0 S1,S0 S1,S0 --J--> S0 | S1 --J--> S0,
L*,L,S0 S1,S0 S1,S0 --L--> S0 | S1 --L--> S0,
K,K,S1,S0 S1,S0 --K--> S1,
F,F,S1,S0 S1,S0 --F--> S1,
A,A,S1,S0 S1,S0 --A--> S1,
AF,A F,S1,S0 S1 S2,S0 --A--> S2 | S2 --F--> S1,
G|B,B G,S0 S1,S0 S1 S2,S2 --B--> S1 | S2 --G--> S0,
D*,D,S0 S1,S0 S1,S0 --D--> S0 | S1 --D--> S0,
H|I,H I,S0 S1,S0 S1 S2,S2 --H--> S0 | S2 --I--> S1,
J,J,S1,S0 S1,S0 --J--> S1,
CAD,A C D,S1,S0 S1 S2 S3,S0 --C--> S2 | S2 --A--> S3 | S3 --D--> S1,
EDC,C D E,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --D--> S3 | S3 --C--> S1,
A+,A,S1,S0 S1,S0 --A--> S1 | S1 --A--> S1,
FH,F H,S1,S0 S1 S2,S0 --F--> S2 | S2 --H--> S1,
F|H,F H,S0 S1,S0 S1 S2,S2 --F--> S0 | S2 --H--> S1,
K|F,F K,S0 S1,S0 S1 S2,S2 --F--> S1 | S2 --K--> S0,
HA,A H,S1,S0 S1 S2,S0 --H--> S2 | S2 --A--> S1,
ID,D I,S1,S0 S1 S2,S0 --I--> S2 | S2 --D--> S1,
LDJ,D J L,S1,S0 S1 S2 S3,S0 --L--> S2 | S2 --D--> S3 | S3 --J--> S1,
C*,C,S0 S1,S0 S1,S0 --C--> S0 | S1 --C--> S0,
EIE,E I,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --I--> S3 | S3 --E--> S1,
G*,G,S0 S1,S0 S1,S0 --G--> S0 | S1 --G--> S0,
H+,H,S1,S0 S1,S0 --H--> S1 | S1 --H--> S1,
F+,F,S1,S0 S1,S0 --F--> S1 | S1 --F--> S1,
B,B,S1,S0 S1,S0 --B--> S1,
JK,J K,S1,S0 S1 S2,S0 --J--> S2 | S2 --K--> S1,
H,H,S1,S0 S1,S0 --H--> S1,
GC,C G,S1,S0 S1 S2,S0 --G--> S2 | S2 --C--> S1,
ADF,A D F,S1,S0 S1 S2 S3,S0 --A--> S2 | S2 --D--> S3 | S3 --F--> S1,
IBH,B H I,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --B--> S3 | S3 --H--> S1,
H|A,A H,S0 S1,S0 S1 S2,S2 --A--> S1 | S2 --H--> S0,
I+,I,S1,S0 S1,S0 --I--> S1 | S1 --I--> S1,
G|F,F G,S0 S1,S0 S1 S2,S2 --F--> S1 | S2 --G--> S0,
I*,I,S0 S1,S0 S1,S0 --I--> S0 | S1 --I--> S0,
ADH,A D H,S1,S0 S1 S2 S3,S0 --A--> S2 | S2 --D--> S3 | S3 --H--> S1,
E+,E,S1,S0 S1,S0 --E--> S1 | S1 --E--> S1,
F|I,F I,S0 S1,S0 S1 S2,S2 --F--> S0 | S2 --I--> S1,
I,I,S1,S0 S1,S0 --I--> S1,
F|C,C F,S0 S1,S0 S1 S2,S2 --C--> S1 | S2 --F--> S0,
CHE,C E H,S1,S0 S1 S2 S3,S0 --C--> S2 | S2 --H--> S3 | S3 --E--> S1,
C|K,C K,S0 S1,S0 S1 S2,S2 --C--> S0 | S2 --K--> S1,
A|K,A K,S0 S1,S0 S1 S2,S2 --A--> S0 | S2 --K--> S1,
HI,H I,S1,S0 S1 S2,S0 --H--> S2 | S2 --I--> S1,
G+,G,S1,S0 S1,S0 --G--> S1 | S1 --G--> S1,
GA,A G,S1,S0 S1 S2,S0 --G--> S2 | S2 --A--> S1,
L|D,D L,S0 S1,S0 S1 S2,S2 --D--> S1 | S2 --L--> S0,
A|C,A C,S0 S1,S0 S1 S2,S2 --A--> S0 | S2 --C--> S1,
C|H,C H,S0 S1,S0 S1 S2,S2 --C--> S0 | S2 --H--> S1,
AB,A B,S1,S0 S1 S2,S0 --A--> S2 | S2 --B--> S1,
G|J,G J,S0 S1,S0 S1 S2,S2 --G--> S0 | S2 --J--> S1,
L|K,K L,S0 S1,S0 S1 S2,S2 --K--> S1 | S2 --L--> S0,
I|L,I L,S0 S1,S0 S1 S2,S2 --I--> S0 | S2 --L--> S1,
EH,E H,S1,S0 S1 S2,S0 --E--> S2 | S2 --H--> S1,
EGH,E G H,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --G--> S3 | S3 --H--> S1,
IH,H I,S1,S0 S1 S2,S0 --I--> S2 | S2 --H--> S1,
II,I,S1,S0 S1 S2,S0 --I--> S2 | S2 --I--> S1,
K*,K,S0 S1,S0 S1,S0 --K--> S0 | S1 --K--> S0,
F|F,F,S1,S0 S1,S0 --F--> S1,
J+,J,S1,S0 S1,S0 --J--> S1 | S1 --J--> S1,
L,L,S1,S0 S1,S0 --L--> S1,
B*,B,S0 S1,S0 S1,S0 --B--> S0 | S1 --B--> S0,
FI,F I,S1,S0 S1 S2,S0 --F--> S2 | S2 --I--> S1,
J|B,B J,S0 S1,S0 S1 S2,S2 --B--> S1 | S2 --J--> S0,
IFJ,F I J,S1,S0 S1 S2 S3,S0 --I--> S2 | S2 --F--> S3 | S3 --J--> S1,
I|G,G I,S0 S1,S0 S1 S2,S2 --G--> S1 | S2 --I--> S0,
IC,C I,S1,S0 S1 S2,S0 --I--> S2 | S2 --C--> S1,
C,C,S1,S0 S1,S0 --C--> S1,
F|B,B F,S0 S1,S0 S1 S2,S2 --B--> S1 | S2 --F--> S0,
HJE,E H J,S1,S0 S1 S2 S3,S0 --H--> S2 | S2 --J--> S3 | S3 --E--> S1,
ELI,E I L,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --L--> S3 | S3 --I--> S1,
FD,D F,S1,S0 S1 S2,S0 --F--> S2 | S2 --D--> S1,
KCE,C E K,S1,S0 S1 S2 S3,S0 --K--> S2 | S2 --C--> S3 | S3 --E--> S1,
C+,C,S1,S0 S1,S0 --C--> S1 | S1 --C--> S1,
F|L,F L,S0 S1,S0 S1 S2,S2 --F--> S0 | S2 --L--> S1,
J|I,I J,S0 S1,S0 S1 S2,S2 --I--> S1 | S2 --J--> S0,
K|K,K,S1,S0 S1,S0 --K--> S1,
HGH,G H,S1,S0 S1 S2 S3,S0 --H--> S2 | S2 --G--> S3 | S3 --H--> S1,
A|F,A F,S0 S1,S0 S1 S2,S2 --A--> S0 | S2 --F--> S1,
FGB,B F G,S1,S0 S1 S2 S3,S0 --F--> S2 | S2 --G--> S3 | S3 --B--> S1,
K|B,B K,S0 S1,S0 S1 S2,S2 --B--> S1 | S2 --K--> S0,
L+,L,S1,S0 S1,S0 --L--> S1 | S1 --L--> S1,
AG,A G,S1,S0 S1 S2,S0 --A--> S2 | S2 --G--> S1,
C|G,C G,S0 S1,S0 S1 S2,S2 --C--> S0 | S2 --G--> S1,
IJ,I J,S1,S0 S1 S2,S0 --I--> S2 | S2 --J--> S1,
F|G,F G,S0 S1,S0 S1 S2,S2 --F--> S0 | S2 --G--> S1,
JKE,E J K,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --K--> S3 | S3 --E--> S1,
B|L,B L,S0 S1,S0 S1 S2,S2 --B--> S0 | S2 --L--> S1,
L|A,A L,S0 S1,S0 S1 S2,S2 --A--> S1 | S2 --L--> S0,
B|K,B K,S0 S1,S0 S1 S2,S2 --B--> S0 | S2 --K--> S1,
JCE,C E J,S1,S0 S1 S2 S3,S0 --J--> S2 | S2 --C--> S3 | S3 --E--> S1,
A|H,A H,S0 S1,S0 S1 S2,S2 --A--> S0 | S2 --H--> S1,
H|H,H,S1,S0 S1,S0 --H--> S1,
E|E,E,S1,S0 S1,S0 --E--> S1,
JI,I J,S1,S0 S1 S2,S0 --J--> S2 | S2 --I--> S1,
F*,F,S0 S1,S0 S1,S0 --F--> S0 | S1 --F--> S0,
C|E,C E,S0 S1,S0 S1 S2,S2 --C--> S0 | S2 --E--> S1,
F|A,A F,S0 S1,S0 S1 S2,S2 --A--> S1 | S2 --F--> S0,
E|A,A E,S0 S1,S0 S1 S2,S2 --A--> S1 | S2 --E--> S0,
GFK,F G K,S1,S0 S1 S2 S3,S0 --G--> S2 | S2 --F--> S3 | S3 --K--> S1,
D|G,D G,S0 S1,S0 S1 S2,S2 --D--> S0 | S2 --G--> S1,
LIK,I K L,S1,S0 S1 S2 S3,S0 --L--> S2 | S2 --I--> S3 | S3 --K--> S1,
AKA,A K,S1,S0 S1 S2 S3,S0 --A--> S2 | S2 --K--> S3 | S3 --A--> S1,
KB,B K,S1,S0 S1 S2,S0 --K--> S2 | S2 --B--> S1,
L|L,L,S1,S0 S1,S0 --L--> S1,
A|B,A B,S0 S1,S0 S1 S2,S2 --A--> S0 | S2 --B--> S1,
G|K,G K,S0 S1,S0 S1 S2,S2 --G--> S0 | S2 --K--> S1,
LG,G L,S1,S0 S1 S2,S0 --L--> S2 | S2 --G--> S1,
FA,A F,S1,S0 S1 S2,S0 --F--> S2 | S2 --A--> S1,
AJL,A J L,S1,S0 S1 S2 S3,S0 --A--> S2 | S2 --J--> S3 | S3 --L--> S1,
B|F,B F,S0 S1,S0 S1 S2,S2 --B--> S0 | S2 --F--> S1,
JF,F J,S1,S0 S1 S2,S0 --J--> S2 | S2 --F--> S1,
GF,F G,S1,S0 S1 S2,S0 --G--> S2 | S2 --F--> S1,
ELH,E H L,S1,S0 S1 S2 S3,S0 --E--> S2 | S2 --L--> S3 | S3 --H--> S1,
B+,B,S1,S0 S1,S0 --B--> S1 | S1 --B--> S1,
B|C,B C,S0 S1,S0 S1 S2,S2 --B--> S0 | S2 --C--> S1,
H*,H,S0 S1,S0 S1,S0 --H--> S0 | S1 --H--> S0,
H|F,F H,S0 S1,S0 S1 S2,S2 --F--> S1 | S2 --H--> S0,
A|G,A G,S0 S1,S0 S1 S2,S2 --A--> S0 | S2 --G--> S1,
C|B,B C,S0 S1,S0 S1 S2,S2 --B--> S1 | S2 --C--> S0,
GI,G I,S1,S0 S1 S2,S0 --G--> S2 | S2 --I--> S1,
K|L,K L,S0 S1,S0 S1 S2,S2 --K--> S0 | S2 --L--> S1,
I|E,E I,S0 S1,S0 S1 S2,S2 --E--> S1 | S2 --I--> S0,
A|I,A I,S0 S1,S0 S1 S2,S2 --A--> S0 | S2 --I--> S1,
K+,K,S1,S0 S1,S0 --K--> S1 | S1 --K--> S1,
